"","artist","title","Wonder","Transcendence","Nostalgia","Tenderness","Peacefulness","Joy","Power","Tension","Sadness","Sublimity","Vitality","Unease","ICC","Familiarity","Liking","Spotify ID","Youtube Clip","Youtube ID","Youtube Start-Time","Youtube End-Time","Number of Raters","GEMS Version"
"1","Bartholdy","Sommernachtstraum",19.62,28.62,17.15,5.15,19.85,29,18.62,1.54,1.38,18.08,23.81,1.46,0.46,2.08,3.46,NA,"https://youtube.com/clip/UgkxXoqJf1a5i2mWFANlcQUOnGctwHUhSH4F","UgkxXoqJf1a5i2mWFANlcQUOnGctwHUhSH4F","17:00","17:41",13,"gems-45_mx"
"2","H�ndel","Lascia ch'io pianga",15.42,27.42,14.42,24.5,63.33,22.42,11.75,3.5,15.17,29.02,17.08,9.33,0.78,2.17,3.08,NA,"https://youtube.com/clip/UgkxYADFt-D1EmdXoVDO2KJ0fQlgTNRiB0J3","UgkxYADFt-D1EmdXoVDO2KJ0fQlgTNRiB0J3","0:00","0:53",12,"gems-45_mx"
"3","Mozart","Overture - Marriage Of Figaro",45.2,37.07,24.63,11.63,39.97,59.43,47.53,10.3,1.23,31.7,53.48,5.77,0.92,3.47,3.97,NA,"https://youtube.com/clip/UgkxIHD7cHxBW6rvMSwLwgllUy30Z--NUcSZ","UgkxIHD7cHxBW6rvMSwLwgllUy30Z--NUcSZ","0:18","0:52",30,"gems-45_mx"
"4","Alfv�n","Midsommarvaka",35.67,34.58,8.67,35.42,40.33,28.83,17.58,4.33,0,30.93,23.21,2.17,0.68,2.25,3.33,"6bnYnAVPzpWLqG4mqC9gc3",NA,NA,NA,NA,12,"gems-45_mx"
"5","Bartok","Piano Sonata BB 88 (Sz. 80)",35.17,23.42,14.83,14.83,12.75,29.75,18,21.33,0,20.2,23.88,10.67,0.35,2.08,2.75,NA,NA,NA,NA,NA,12,"gems-45_mx"
"6","Rossini","Wilhelm Tell (Ouvert�re)",31.64,24.82,15.18,16.64,7.55,62.36,53.73,3.73,9.27,19.16,58.05,6.5,0.77,3.91,3.64,NA,"https://youtube.com/clip/UgkxybJ8kBJHnD0NH_qSCug2wTmq6BHK4VqE","UgkxybJ8kBJHnD0NH_qSCug2wTmq6BHK4VqE","8:45","9:42",11,"gems-45_mx"
"7","Borodin","F�rst Igor (Chorus)",21.64,34,21.27,16.73,36.09,28.55,8.82,0,7.45,25.95,18.68,3.73,0.4,2.09,3,NA,NA,NA,NA,NA,11,"gems-45_mx"
"8","Tschaikowski","Gremin's Aria (Onegin)",26.83,21,13.08,15.25,33.92,13,13.42,14,5,22.02,13.21,9.5,0.04,2.33,2.92,NA,NA,NA,NA,NA,12,"gems-45_mx"
"9","Bruch","Kol Nidrei, Adagio for Cello and Orchestra, op. 47",7.18,21.09,20.64,16.55,26.64,16.91,6.27,5,6.82,18.42,11.59,5.91,-0.26,2.18,2.73,NA,NA,NA,NA,NA,11,"gems-45_mx"
"10","Chopin","Concerto for Piano n�1 in e Minor. Second movement. Larghetto",17.92,24.58,36.58,38.17,70.75,16.17,6.75,0,8.5,37.6,11.46,4.25,0.85,2,3.25,NA,NA,NA,NA,NA,12,"gems-45_mx"
"11","Wagner","Tristan & Isolde, Liebestod",23.59,14.3,8,4.33,3.04,22.81,17.41,33.3,2.04,10.65,20.11,17.67,0.81,1.3,2.26,NA,"https://youtube.com/clip/Ugkxk6c-yPWFHcuD1axTM9D-EJDv32Z0csjQ","Ugkxk6c-yPWFHcuD1axTM9D-EJDv32Z0csjQ","4:56","5:47",27,"gems-45_mx"
"12","Tschaikowski","Walzer (Onegin)",26,11.18,9.09,12.52,27.03,57.39,34.24,10.82,0,17.16,45.82,5.41,0.91,1.52,3.39,NA,NA,NA,NA,NA,33,"gems-45_mx"
"13","Dvorak","9. Sinfonie (II. Largo)",33.7,32.36,60.58,46.09,50.39,10.82,6.48,5.85,27.55,44.62,8.65,16.7,0.92,2.91,3.94,NA,"https://youtube.com/clip/UgkxFAA69ye9sAY1N9WDpRz5SObKLpnyEKng","UgkxFAA69ye9sAY1N9WDpRz5SObKLpnyEKng","1:08","2:01",33,"gems-45_mx"
"14","Mozart","Requiem",33.82,39.76,28.09,18.13,17.84,19.57,27.47,21.15,11.1,27.53,23.52,16.12,0.87,2.8,3.62,NA,NA,NA,NA,NA,101,"gems-45_mx"
"15","Delibes","Coppelia. Ballet in 3 Acts. First act, pr�lude",31.47,30.44,9.21,6.26,31.15,57.82,40.35,8.85,1.12,21.71,49.09,4.99,0.93,1.88,3.29,NA,NA,NA,NA,NA,34,"gems-45_mx"
"16","Holst","The Planets, op. 32. Mars",34.74,32.09,9.56,5.24,6.94,28,24.91,49.74,0.44,17.71,26.46,25.09,0.91,1.74,2.85,NA,NA,NA,NA,NA,34,"gems-45_mx"
"17","Mozart","Die Zauberfl�te",21.78,27,15.63,18.67,26.22,26.85,6.89,11.59,0,21.86,16.87,5.8,0.72,1.78,2.85,NA,"https://youtube.com/clip/UgkxUhWNKBgdUbJhCgah4KJD9Y0B4d4bUlbu","UgkxUhWNKBgdUbJhCgah4KJD9Y0B4d4bUlbu","74:38","75:08",27,"gems-45_mx"
"18","Faur�","Romance sans Paroles",20.71,25.68,34.39,45.11,57.82,13.57,2.46,1.86,6.29,36.74,8.02,4.07,0.93,1.32,3.57,NA,"https://youtube.com/clip/UgkxQPEqkpnGIK2-LLxuRimQ9MHxpkpmCeeg","UgkxQPEqkpnGIK2-LLxuRimQ9MHxpkpmCeeg","0:00","0:48",28,"gems-45_mx"
"19","Liszt","B�n�diction de Dieu Dans la Solitude",23.93,29.93,45.64,39.14,65.21,10.68,5.32,7.5,0,40.77,8,3.75,0.94,1.43,3.61,NA,NA,NA,NA,NA,28,"gems-45_mx"
"20","Mendelssohn","Song Without Words, op. 19, No 1",29.3,24,33.19,47.7,55.41,17.85,4.04,1.22,4.3,37.92,10.94,2.76,0.93,1.33,3.81,NA,NA,NA,NA,NA,27,"gems-45_mx"
"21","Mozart","Eine kleine Nachtmusik: First movement",35.18,33.32,16.61,15.79,40.79,59.71,25.54,6.39,0,28.34,42.62,3.2,0.91,3.25,3.75,NA,"https://youtube.com/clip/UgkxZV0SHrZDy1AYZOZYFH8eCxgTMFI822sq","UgkxZV0SHrZDy1AYZOZYFH8eCxgTMFI822sq","2:32","3:09",28,"gems-45_mx"
"22","Humperdinck","H�nsel und Gretel (Ouvert�re)",34,20.11,38.46,43.07,51.82,20.11,7.93,7.5,1.93,37.49,14.02,4.71,0.9,1.54,3.36,NA,NA,NA,NA,NA,28,"gems-45_mx"
"23","Milhaud","Scaramouche: Brazileira",35.18,26.89,16.07,16.36,23.96,48.68,31.86,16.18,0,23.69,40.27,8.09,0.84,1.64,3.11,NA,NA,NA,NA,NA,28,"gems-45_mx"
"24","Saint-Saens","Carnival of Animals: Finale",37.07,26.64,20.93,8.75,18.46,49.5,34.43,14.5,0,22.37,41.96,7.25,0.86,1.93,3.39,NA,NA,NA,NA,NA,28,"gems-45_mx"
"25","Chopin","Impromptu No. 2",29.43,24.07,38.27,38.87,66.27,23.5,7.17,3.03,8.27,39.38,15.33,5.65,0.92,1.83,3.53,NA,"https://youtube.com/clip/Ugkx05j3YY26icMuOHwlJJp28U55tS6W5DP7","Ugkx05j3YY26icMuOHwlJJp28U55tS6W5DP7","0:04","0:58",30,"gems-45_mx"
"26","Beethoven","Mondscheinsonate",37.4,33.17,39.4,21.47,44.4,18.07,7.13,10.8,28.17,35.17,12.6,19.48,0.78,2.9,3.67,NA,"https://youtube.com/clip/UgkxyBxVVsTTWAT-_fcdCX5fDYRneqptEysx","UgkxyBxVVsTTWAT-_fcdCX5fDYRneqptEysx","3:35","4:20",30,"gems-45_mx"
"27","Beethoven","9. Symphonie, 2. Satz (Toscanini)",12.52,22.65,15.48,1.9,14.06,45.39,37.35,25.74,0,13.32,41.37,12.87,0.87,1.87,3.74,NA,"https://youtube.com/clip/Ugkxrpd0GHQAveGS6sHjIw9x2T2FTuObDGBM","Ugkxrpd0GHQAveGS6sHjIw9x2T2FTuObDGBM","15:49","16:18",31,"gems-45_mx"
"28","Debussy","Clair de lune",25.55,24.06,41.45,31.94,40.45,5.9,5.81,7.26,9.68,32.69,5.85,8.47,0.87,2.61,3.58,NA,"https://youtube.com/clip/UgkxZqA9R-IZ4NlEqnnscZRcW-NU-PSfWw-Y","UgkxZqA9R-IZ4NlEqnnscZRcW-NU-PSfWw-Y","2:03","2:32",31,"gems-45_mx"
